Admin1Name,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
Bouenza,3.2,18.3,5.2,0.2,0.2,17.9,17.7,15.7,1.0,7.2,3.6,8.8,12.5,5.6,0.1,4.6,14.6,0.2,12.7,0.2,5.1,7.3,1.2,2.2,7.4,2.2,0.9,10.9,37.3
Brazzaville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuvette,0.1,4.0,2.7,8.9,15.3,4.1,0.8,3.1,2.4,0.8,6.5,1.1,8.6,2.0,0.0,11.6,3.2,0.3,7.6,1.5,2.7,0.4,0.1,0.0,6.8,8.5,0.2,0.0,31.2
Cuvette-Ouest,4.6,3.7,1.4,6.3,7.4,1.7,0.9,6.0,1.0,0.7,5.9,2.2,6.1,0.7,0.0,5.7,7.3,0.9,5.0,0.4,2.7,2.9,0.9,0.1,5.6,12.7,0.2,3.7,24.9
Kouilou,1.6,14.7,10.4,0.3,0.0,18.7,65.5,6.5,0.9,4.7,0.1,0.8,5.3,6.0,0.8,6.5,9.2,0.2,3.4,0.2,8.4,12.1,8.0,0.0,3.5,0.9,1.3,6.8,46.4
Lekoumou,3.9,21.4,5.2,0.1,0.4,10.8,10.4,14.3,0.5,2.0,4.1,13.8,19.8,4.5,0.0,4.9,24.3,1.4,11.7,0.2,4.3,3.3,0.3,0.2,1.6,1.4,0.6,16.1,32.4
Likouala,0.0,0.0,0.4,0.6,0.2,0.0,0.2,0.6,0.0,0.0,0.1,0.0,0.1,0.0,0,0.2,0.5,1.3,0.1,0.0,0.4,0.0,0.0,0,3.9,12.0,0.3,0.1,0.3
Niari,1.2,24.6,6.4,0.1,0.0,8.1,8.8,6.3,0.4,1.3,0.4,3.1,15.0,10.2,0.1,2.7,17.5,0.1,6.9,0.8,4.6,6.6,0.8,0.0,2.1,1.2,0.1,12.0,21.8
Plateaux,6.0,14.9,3.4,5.4,20.9,5.1,2.9,14.7,3.2,2.4,13.5,4.7,12.6,1.3,0.0,22.2,10.4,0.6,28.9,3.7,3.4,1.5,0.9,0.9,1.3,2.4,0.6,10.7,57.8
Point-Noire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pool,8.5,15.1,4.3,1.2,3.3,4.6,10.1,26.7,4.8,14.8,14.1,4.6,3.6,0.8,0.8,14.6,12.0,1.0,45.4,4.0,2.2,2.6,0.8,11.2,12.9,8.4,2.7,10.8,40.4
Sangha,0.5,0.0,1.6,1.4,0.0,0.4,0.1,0.2,0.0,0.0,0.5,0.1,0.2,0.1,0,0.6,0.4,0.6,2.3,0.5,1.2,0.3,0.1,0,3.5,16.1,0.0,0.0,0.5
