Admin2Name,floodArea_km2
Loukolela,92.8591838566501
Mossaka,70.79676469963157
Mpouya,38.33581571525822
Makotimpoko,31.059815854046963
Liranga,29.4748842178931
Bouanila,25.641097225679868
Owando,15.97173529220687
Impfondo,15.15963641228111
Makoua,14.154824155702254
Gamboma,13.655690704566348
Betou,8.186500365767188
Epena,7.972237732459788
Ngo,7.576831895741708
Ntokou,6.223421372982882
Lekana,4.343272623523304
Dongou,4.157665309907054
Mbon,2.3811324069772724
Oyo,2.3769830823991205
Enyelle,2.162507799337836
Abala,2.0985478966329856
Djambala,1.3778476886714248
Tchikapika,1.2638720750911165
Allembe,0.6968082962361047
Boundji,0.6835854216981779
Ollombo,0.525267159622252
Ngoko,0.2143317663097601
Mokeko,0.021031210710024364
Ngabe,0.019951673627486878
Okoyo,0.009012453008584413
Mbomo,0.00749886259137322
Mayama,0.0024445720215142937
Pikounda,0.0023586021269854374
Vindza,0.0014426894986620136
Etoumbi,1.904808661068187E-4
Souanke,0.0
Ouesso,0.0
Sembe,0.0
Ngbala,0.0
Kelle,0.0
Boko,0.0
Tchiamba_Nzassi,0.0
Pointe-Noire,0.0
Hinda,0.0
Madingo_Kayes,0.0
Kakameoka,0.0
Mvouti,0.0
Nzambi,0.0
Banba,0.0
Nyanga,0.0
Divenie,0.0
Kibangou,0.0
Makabana,0.0
Loudima,0.0
Sibiti,0.0
Moutamba,0.0
Moungoundou_Sud,0.0
Mayoko,0.0
Yaya,0.0
Komono,0.0
Bambama,0.0
Zanaga,0.0
Mayeye,0.0
Mabombo,0.0
Nkayi,0.0
Madingou,0.0
Louvakou,0.0
Kimongo,0.0
Londela_Kayes,0.0
Boko_Songho,0.0
Mindouli,0.0
Mfouati,0.0
Yamba,0.0
Mouyondzi,0.0
Tsiaki,0.0
Kingoue,0.0
Kindamba,0.0
Kinkala,0.0
Goma_Tsetse,0.0
Mbandza_Ndounga,0.0
Louingui,0.0
Loumo,0.0
Brazzaville,0.0
Ignie,0.0
Kimba,0.0
Ewo,0.0
Ongogni,0.0
Mbama,0.0
Mbinda,0.0
Moungoundou_ Nord,0.0
