Admin1Name,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31
Bouenza,2.5,16.3,20.8,7.2,0.8,15.2,13.1,34.8,14.3,1.5,0.2,6.1,1.2,0.0,6.0,3.4,3.9,3.8,1.1,4.6,2.1,1.0,6.7,3.3,1.5,0.9,0.1,3.1,5.2,4.7,5.6
Brazzaville,5.7,0.5,21.5,6.0,0.2,39.4,10.6,77.5,43.5,8.5,0.5,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,0.1,4.3,0.5,57.5,18.0,4.4,7.3,1.1,5.3,6.8,33.7,46.4
Cuvette,12.8,2.0,0.0,0.0,0,0.0,0.0,0.6,8.5,6.5,0.6,0.0,0,0,0.1,0.0,1.3,0.4,0.2,1.7,0.6,0.3,0.1,0.0,0,0,0,0.1,0.1,2.9,0.9
Cuvette-Ouest,5.3,0.7,0.0,0.0,0,0.0,0.0,3.3,7.9,4.7,0.2,0.0,0.0,0,0.4,0.5,4.8,0.7,1.8,4.0,0.9,2.5,0.6,0.0,0,0,0,1.7,1.9,2.4,1.0
Kouilou,2.8,10.2,24.5,7.1,0.6,7.8,17.5,30.6,6.9,6.4,0.6,0.9,0.3,0.1,4.9,3.4,12.8,6.6,0.2,0.4,0.4,0.0,2.6,3.6,1.6,4.9,0.4,4.6,12.7,3.3,4.1
Lekoumou,0.6,20.0,18.2,1.6,0.4,20.0,4.1,32.2,17.9,1.0,0.0,8.6,1.6,0.0,5.6,2.0,3.9,1.5,1.6,8.8,2.6,2.3,2.2,0.6,0.0,0.0,0.0,1.9,3.0,5.4,2.7
Likouala,0.3,0.1,0,0,0,0,0,0.0,1.0,4.7,0.5,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.3,0.1
Niari,0.7,13.7,21.1,3.2,0.6,13.4,4.6,28.7,15.6,1.1,0.0,2.8,0.7,0.0,2.4,0.8,1.8,1.5,0.2,1.7,0.4,0.1,1.2,0.7,0.6,0.3,0.0,0.7,2.2,4.1,3.5
Plateaux,19.5,1.7,0.6,0.1,0.0,0.9,0.2,8.3,17.5,4.7,0.1,0.1,0.0,0,1.2,0.1,10.6,2.3,4.5,9.6,3.7,6.3,2.4,0.3,0.0,0.0,0.0,4.5,5.5,1.5,0.4
Point-Noire,1.7,4.5,45.7,6.6,0.0,8.3,28.8,26.2,6.6,14.1,1.3,0.2,0.0,0.2,11.0,6.8,17.1,9.0,0.1,0.4,0.8,0.0,1.4,9.6,0.8,11.7,0.4,5.9,24.5,3.1,5.0
Pool,6.5,2.9,15.7,4.1,0.1,21.9,7.8,28.7,28.6,4.6,0.2,0.5,0.1,0,3.3,0.2,7.3,3.3,3.7,6.9,4.7,4.7,23.5,9.9,1.4,1.9,0.3,6.7,8.2,10.4,16.3
Sangha,0.0,0.0,0,0,0,0,0,0.0,0.4,7.6,0.8,0,0,0,0,0.5,0.3,0.1,0,0.0,0.0,0,0,0,0,0,0,0,0,1.1,0.3
